Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 07:57:49 2024

Initialized Ramulator. 
Address in frontend: 00005647AB931350, Iclass: ALU
Address in frontend: 00005647AB931353, Iclass: ALU
Address in frontend: 00005647AB931357, Iclass: JUMP
Address in frontend: 00005647AB93135E, Iclass: ALU
Address in frontend: 00005647AB931362, Iclass: JUMP
Address in frontend: 00005647AB931368, Iclass: MOV
Address in frontend: 00005647AB93136C, Iclass: ALU
Address in frontend: 00005647AB931371, Iclass: JUMP
Address in frontend: 00005647AB931373, Iclass: ALU
Address in frontend: 00005647AB931376, Iclass: JUMP
Address in frontend: 00005647AB931510, Iclass: ALU
Address in frontend: 00005647AB931517, Iclass: JUMP
Address in frontend: 00005647AB93151D, Iclass: ALU
Address in frontend: 00005647AB931520, Iclass: ALU
Address in frontend: 00005647AB931527, Iclass: JUMP
Address in frontend: 00005647AB931392, Iclass: ALU
Address in frontend: 00005647AB931397, Iclass: MOV
Address in frontend: 00005647AB93139A, Iclass: ALU
Address in frontend: 00005647AB93139D, Iclass: MOV
Address in frontend: 00005647AB9313A0, Iclass: ALU
Address in frontend: 00005647AB9313A2, Iclass: JUMP
Address in frontend: 00005647AB9313AF, Iclass: POP
Address in frontend: 00005647AB9313B0, Iclass: POP
Address in frontend: 00005647AB9313B2, Iclass: POP
Address in frontend: 00005647AB9313B4, Iclass: POP
Address in frontend: 00005647AB9313B6, Iclass: POP
Address in frontend: 00005647AB9313B7, Iclass: POP
Address in frontend: 00005647AB92F18A, Iclass: ALU
Address in frontend: 00005647AB92F18E, Iclass: JUMP
Address in frontend: 00005647AB92F194, Iclass: ALU
Address in frontend: 00005647AB92F19C, Iclass: MOV
Address in frontend: 00005647AB92F19F, Iclass: ALU
Address in frontend: 00005647AB92F1A6, Iclass: MOV
Address in frontend: 00005647AB92F1A9, Iclass: MOV
Address in frontend: 00005647AB92F1AD, Iclass: JUMP
Address in frontend: 00005647AB92F1BD, Iclass: ALU
Address in frontend: 00005647AB92F1BF, Iclass: MOV
Address in frontend: 00005647AB92F1C4, Iclass: ALU
Address in frontend: 00005647AB92F1C8, Iclass: CALL
Address in frontend: 00005647AB96CE70, Iclass: ALU
Address in frontend: 00005647AB96CE74, Iclass: ALU
Address in frontend: 00005647AB96CE77, Iclass: MOV
Address in frontend: 00005647AB96CE7F, Iclass: MOV
Address in frontend: 00005647AB96CE87, Iclass: MOV
Address in frontend: 00005647AB96CE8E, Iclass: MOV
Address in frontend: 00005647AB96CE96, Iclass: MOV
Address in frontend: 00005647AB96CE9A, Iclass: MOV
Address in frontend: 00005647AB96CEA2, Iclass: MOV
Address in frontend: 00005647AB96CEA9, Iclass: MOV
Address in frontend: 00005647AB96CEB0, Iclass: MOV
Address in frontend: 00005647AB96CEB8, Iclass: MOV
Address in frontend: 00005647AB96CEC0, Iclass: MOV
Address in frontend: 00005647AB96CEC4, Iclass: JUMP
Address in frontend: 00005647AB96CEC6, Iclass: POP
Address in frontend: 00005647AB92F1CD, Iclass: MOV
Address in frontend: 00005647AB92F1D8, Iclass: MOV
Address in frontend: 00005647AB92F1E2, Iclass: MOV
Address in frontend: 00005647AB92F1EC, Iclass: MOV
Address in frontend: 00005647AB92F1F7, Iclass: MOV
Address in frontend: 00005647AB92F202, Iclass: MOV
Address in frontend: 00005647AB92F206, Iclass: JUMP
Address in frontend: 00005647AB92F219, Iclass: MOV
Address in frontend: 00005647AB92F21C, Iclass: MOV
Address in frontend: 00005647AB92F220, Iclass: CALL
Address in frontend: 00005647AB930280, Iclass: MOV
Address in frontend: 00005647AB930283, Iclass: PUSH
Address in frontend: 00005647AB930284, Iclass: MOV
Address in frontend: 00005647AB930287, Iclass: MOV
Address in frontend: 00005647AB93028A, Iclass: ALU
Address in frontend: 00005647AB93028D, Iclass: JUMP
Address in frontend: 00005647AB9302C0, Iclass: ALU
Address in frontend: 00005647AB9302C4, Iclass: POP
Address in frontend: 00005647AB9302C5, Iclass: MOV
Address in frontend: 00005647AB9302C8, Iclass: MOV
Address in frontend: 00005647AB9302CB, Iclass: POP
Address in frontend: 00005647AB92F225, Iclass: ALU
Address in frontend: 00005647AB92F228, Iclass: MOV
Address in frontend: 00005647AB92F22B, Iclass: JUMP
Address in frontend: 00005647AB92F231, Iclass: ALU
Address in frontend: 00005647AB92F235, Iclass: JUMP
Address in frontend: 00005647AB92F450, Iclass: MOV
Address in frontend: 00005647AB92F456, Iclass: ALU
