Scarab gitrev: d92c720
starlab_do_write is: 1
Scarab started at Thu Jan  2 21:12:35 2025

Initialized Ramulator. 
XED decode error for 0xffffffffa2bbdd9e: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdda3: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdda8: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbddad: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbddb3: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbddb9: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbddbe: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbddc3: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbddc8: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbddcd: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbddd2: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbddd7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdddc: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbdde5: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbddee: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbddf7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde00: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde09: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde0e: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde13: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde1c: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde26: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde2f: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde39: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde42: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde4b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde51: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde57: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde5d: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde64: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde6a: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde70: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde76: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde7b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde81: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde86: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbde8f: BUFFER_TOO_SHORT 2, replacing with nop
generated 1000 Jmp instructions, possible memory leakgenerated 2000 Jmp instructions, possible memory leakgenerated 3000 Jmp instructions, possible memory leakgenerated 4000 Jmp instructions, possible memory leak** Heartbeat:   1% -- { 1000002 } -- 0.00 KIPS (29.41 KIPS)
generated 5000 Jmp instructions, possible memory leakgenerated 6000 Jmp instructions, possible memory leakgenerated 7000 Jmp instructions, possible memory leak** Heartbeat:   2% -- { 2000005 } -- 30.30 KIPS (29.85 KIPS)
generated 8000 Jmp instructions, possible memory leak** Heartbeat:   3% -- { 3000010 } -- 41.67 KIPS (32.97 KIPS)
generated 9000 Jmp instructions, possible memory leakgenerated 10000 Jmp instructions, possible memory leakgenerated 11000 Jmp instructions, possible memory leakgenerated 12000 Jmp instructions, possible memory leakgenerated 13000 Jmp instructions, possible memory leakgenerated 14000 Jmp instructions, possible memory leak** Heartbeat:   4% -- { 4000012 } -- 34.48 KIPS (33.33 KIPS)
generated 15000 Jmp instructions, possible memory leakgenerated 16000 Jmp instructions, possible memory leak** Heartbeat:   5% -- { 5000014 } -- 35.71 KIPS (33.78 KIPS)
generated 17000 Jmp instructions, possible memory leak** Heartbeat:   6% -- { 6000017 } -- 35.71 KIPS (34.09 KIPS)
