Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 10:52:33 2024

Initialized Ramulator. 
Address in frontend: 00007FAF8FB7D46B, Iclass: MOV
Address in frontend: 00007FAF8FB7D475, Iclass: ALU
Address in frontend: 00007FAF8FB7D478, Iclass: ALU
Address in frontend: 00007FAF8FB7D47B, Iclass: JUMP
Address in frontend: 00007FAF8FB7D48A, Iclass: ALU
Address in frontend: 00007FAF8FB7D491, Iclass: ALU
Address in frontend: 00007FAF8FB7D498, Iclass: MOV
Address in frontend: 00007FAF8FB7D49B, Iclass: JUMP
Address in frontend: 00007FAF8FB7D4A1, Iclass: ALU
Address in frontend: 00007FAF8FB7D4A4, Iclass: JUMP
Address in frontend: 00007FAF8FB7D5C0, Iclass: ALU
Address in frontend: 00007FAF8FB7D5C7, Iclass: ALU
Address in frontend: 00007FAF8FB7D5CE, Iclass: ALU
Address in frontend: 00007FAF8FB7D5D5, Iclass: ALU
Address in frontend: 00007FAF8FB7D5D8, Iclass: JUMP
Address in frontend: 00007FAF8FB7D5DE, Iclass: MOV
Address in frontend: 00007FAF8FB7D5E7, Iclass: ALU
Address in frontend: 00007FAF8FB7D5EE, Iclass: MOV
Address in frontend: 00007FAF8FB7D5F1, Iclass: ALU
Address in frontend: 00007FAF8FB7D5F5, Iclass: JUMP
Address in frontend: 00007FAF8FB7D870, Iclass: ALU
Address in frontend: 00007FAF8FB7D873, Iclass: JUMP
Address in frontend: 00007FAF8FB7D622, Iclass: MOV
Address in frontend: 00007FAF8FB7D625, Iclass: ALU
Address in frontend: 00007FAF8FB7D629, Iclass: ALU
Address in frontend: 00007FAF8FB7D62D, Iclass: MOV
Address in frontend: 00007FAF8FB7D630, Iclass: ALU
Address in frontend: 00007FAF8FB7D634, Iclass: ALU
Address in frontend: 00007FAF8FB7D637, Iclass: MOV
Address in frontend: 00007FAF8FB7D63A, Iclass: ALU
Address in frontend: 00007FAF8FB7D63C, Iclass: JUMP
Address in frontend: 00007FAF8FB7D642, Iclass: ALU
Address in frontend: 00007FAF8FB7D646, Iclass: ALU
Address in frontend: 00007FAF8FB7D649, Iclass: ALU
Address in frontend: 00007FAF8FB7D64D, Iclass: MOV
Address in frontend: 00007FAF8FB7D650, Iclass: ALU
Address in frontend: 00007FAF8FB7D657, Iclass: JUMP
Address in frontend: 00007FAF8FB7D659, Iclass: MOV
