Scarab gitrev: bc72524
Scarab started at Wed Nov 13 17:03:43 2024

Initialized Ramulator. 
XED decode error for 0x7f2f9863e000: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9863dbf0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98871250: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b2dd30: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b2eb60: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b2d3e0: BUFFER_TOO_SHORT 3, replacing with nop
** Heartbeat:   4% -- { 4000005 } -- 50.00 KIPS (64.52 KIPS)
XED decode error for 0x7f2f98726fa0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985e5e00: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985e5d30: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985e5db0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c7067: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985e6b40: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985e6c40: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b345b0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98859b00: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98b364c0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986b0670: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98885d50: BUFFER_TOO_SHORT 3, replacing with nop
** Heartbeat:   5% -- { 5000005 } -- 55.56 KIPS (62.50 KIPS)
XED decode error for 0x7f2f988f4110: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98726b60: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986b12a0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986b2dd0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985f5440: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c5310: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c55a0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9872e650: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986b06d0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986bba20: BUFFER_TOO_SHORT 3, replacing with nop
** Heartbeat:   6% -- { 6000008 } -- 71.43 KIPS (63.83 KIPS)
XED decode error for 0x7f2f988f3ae0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f9884cce0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98848b80: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f988f22f0: BUFFER_TOO_SHORT 3, replacing with nop
** Heartbeat:   7% -- { 7000012 } -- 71.43 KIPS (64.81 KIPS)
** Heartbeat:   8% -- { 8000012 } -- 71.43 KIPS (65.57 KIPS)
XED decode error for 0x7f2f985d7130: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986b2cc0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986b6b50: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98af2ac0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98af25b0: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98aed370: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f985c5580: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f98aed660: BUFFER_TOO_SHORT 3, replacing with nop
XED decode error for 0x7f2f986424f0: BUFFER_TOO_SHORT 3, replacing with nop
