Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 07:27:19 2024

Initialized Ramulator. 
Address in frontend: 000055B6B536EE8D, Iclass: JUMP
Address in frontend: 000055B6B536F148, Iclass: ALU
Address in frontend: 000055B6B536F14B, Iclass: ALU
Address in frontend: 000055B6B536F150, Iclass: JUMP
Address in frontend: 000055B6B536F156, Iclass: ALU
Address in frontend: 000055B6B536F159, Iclass: ALU
Address in frontend: 000055B6B536F15D, Iclass: MOV
Address in frontend: 000055B6B536F161, Iclass: JUMP
Address in frontend: 000055B6B536EE93, Iclass: MOV
Address in frontend: 000055B6B536EE98, Iclass: MOV
Address in frontend: 000055B6B536EE9B, Iclass: ALU
Address in frontend: 000055B6B536EE9E, Iclass: ALU
Address in frontend: 000055B6B536EEA1, Iclass: JUMP
Address in frontend: 000055B6B536F080, Iclass: MOV
Address in frontend: 000055B6B536F085, Iclass: ALU
Address in frontend: 000055B6B536F08C, Iclass: MOV
Address in frontend: 000055B6B536F090, Iclass: MOV
Address in frontend: 000055B6B536F094, Iclass: MOV
Address in frontend: 000055B6B536F097, Iclass: MOV
Address in frontend: 000055B6B536F09A, Iclass: CALL
Address in frontend: 000055B6B5363D00, Iclass: PUSH
Address in frontend: 000055B6B5363D01, Iclass: MOV
Address in frontend: 000055B6B5363D04, Iclass: PUSH
Address in frontend: 000055B6B5363D06, Iclass: PUSH
Address in frontend: 000055B6B5363D08, Iclass: PUSH
Address in frontend: 000055B6B5363D0A, Iclass: PUSH
Address in frontend: 000055B6B5363D0C, Iclass: MOV
Address in frontend: 000055B6B5363D0F, Iclass: PUSH
Address in frontend: 000055B6B5363D10, Iclass: MOV
Address in frontend: 000055B6B5363D13, Iclass: ALU
Address in frontend: 000055B6B5363D17, Iclass: MOV
Address in frontend: 000055B6B5363D1B, Iclass: MOV
Address in frontend: 000055B6B5363D1E, Iclass: ALU
Address in frontend: 000055B6B5363D21, Iclass: ALU
Address in frontend: 000055B6B5363D23, Iclass: ALU
Address in frontend: 000055B6B5363D26, Iclass: JUMP
Address in frontend: 000055B6B5363D2C, Iclass: ALU
Address in frontend: 000055B6B5363D2F, Iclass: MOV
Address in frontend: 000055B6B5363D32, Iclass: JUMP
Address in frontend: 000055B6B5363D38, Iclass: MOV
Address in frontend: 000055B6B5363D3B, Iclass: ALU
Address in frontend: 000055B6B5363D40, Iclass: JUMP
Address in frontend: 000055B6B5363D46, Iclass: MOV
Address in frontend: 000055B6B5363D4A, Iclass: ALU
Address in frontend: 000055B6B5363D4E, Iclass: MOV
Address in frontend: 000055B6B5363D53, Iclass: ALU
Address in frontend: 000055B6B5363D5A, Iclass: ALU
Address in frontend: 000055B6B5363D5E, Iclass: MOV
Address in frontend: 000055B6B5363D61, Iclass: ALU
Address in frontend: 000055B6B5363D65, Iclass: ALU
Address in frontend: 000055B6B5363D67, Iclass: JUMP
Address in frontend: 000055B6B5363D8C, Iclass: ALU
Address in frontend: 000055B6B5363D90, Iclass: ALU
Address in frontend: 000055B6B5363D93, Iclass: MOV
Address in frontend: 000055B6B5363D96, Iclass: ALU
Address in frontend: 000055B6B5363D98, Iclass: JUMP
Address in frontend: 000055B6B5363D9A, Iclass: ALU
Address in frontend: 000055B6B5363D9D, Iclass: JUMP
Address in frontend: 000055B6B5363D9F, Iclass: MOV
Address in frontend: 000055B6B5363DA3, Iclass: ALU
Address in frontend: 000055B6B5363DA8, Iclass: ALU
Address in frontend: 000055B6B5363DAB, Iclass: MOV
Address in frontend: 000055B6B5363DAE, Iclass: ALU
Address in frontend: 000055B6B5363DB2, Iclass: ALU
Address in frontend: 000055B6B5363DB6, Iclass: MOV
Address in frontend: 000055B6B5363DBA, Iclass: MOV
Address in frontend: 000055B6B5363DBD, Iclass: MOV
Address in frontend: 000055B6B5363DC0, Iclass: MOV
Address in frontend: 000055B6B5363DC2, Iclass: ALU
Address in frontend: 000055B6B5363DC4, Iclass: JUMP
Address in frontend: 000055B6B5363DC6, Iclass: ALU
